상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202212A0053286,맘스터치,,I2,음식,I210,기타 간이,I21004,버거,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11230,동대문구,11230660,장안2동,1123010600,장안동,1.12301E+18,1,대지,335,5,서울특별시 동대문구 장안동 335-5,1.12303E+11,서울특별시 동대문구 답십리로,302,,1.12301E+24,,서울특별시 동대문구 답십리로 302,130840,2637,,1,,127.0739042,37.57190201
MA0101202212A0084077,파인푸드장로회신학대학교학생식당,,I2,음식,I207,구내식당·뷔페,I20701,구내식당,I56130,기관 구내식당업,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1.12151E+18,1,대지,353,,서울특별시 광진구 광장동 353,1.12154E+11,서울특별시 광진구 광장로5길,25,1,1.12151E+24,장로회신학대학교,서울특별시 광진구 광장로5길 25-1,143756,4965,,1,,127.104742,37.55007316
MA0101202212A0069695,길동역가맥,,I2,음식,I211,주점,I21101,일반 유흥 주점,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215770,중곡4동,1121510100,중곡동,1.12151E+18,1,대지,115,1,서울특별시 광진구 중곡동 115-1,1.12154E+11,서울특별시 광진구 천호대로127길,16,,1.12151E+24,,서울특별시 광진구 천호대로127길 16,143889,4953,,1,,127.0896701,37.55358015
MA0101202212A0026501,고씨네건국대점,,I2,음식,I203,일식,I20301,일식 회/초밥,I56122,일식 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,3,42,서울특별시 광진구 화양동 3-42,1.12154E+11,서울특별시 광진구 능동로13길,6,,1.12151E+24,,서울특별시 광진구 능동로13길 6,143914,5011,,2,,127.0714499,37.54252654
MA0101202301A0041624,광나루순대,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1.12151E+18,1,대지,337,1,서울특별시 광진구 광장동 337-1,1.12153E+11,서울특별시 광진구 아차산로,621,,1.12151E+24,,서울특별시 광진구 아차산로 621,143810,4967,,1,,127.1070144,37.54837837
MA0101202301A0040551,제주탐하리,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215740,중곡1동,1121510100,중곡동,1.12151E+18,1,대지,612,3,서울특별시 광진구 중곡동 612-3,1.12154E+11,서울특별시 광진구 천호대로101길,11,,1.12151E+24,영진빌딩,서울특별시 광진구 천호대로101길 11,143912,4920,,1,,127.0746321,37.55972555
MA0101202301A0099350,리파인건대,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,12,36,서울특별시 광진구 화양동 12-36,1.12154E+11,서울특별시 광진구 능동로13길,36,,1.12151E+24,,서울특별시 광진구 능동로13길 36,143914,5011,,2,,127.0703955,37.54359951
MA0101202301A0088094,오늘의떡,,I2,음식,I210,기타 간이,I21002,떡/한과,C10711,떡류 제조업,11,서울특별시,11215,광진구,11215740,중곡1동,1121510100,중곡동,1.12151E+18,1,대지,230,39,서울특별시 광진구 중곡동 230-39,1.12154E+11,서울특별시 광진구 능동로47길,42,,1.12151E+24,,서울특별시 광진구 능동로47길 42,143903,4910,,1,,127.080355,37.56376191
MA0101202301A0091515,신라전골,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1.12151E+18,1,대지,546,4,서울특별시 광진구 구의동 546-4,1.12154E+11,서울특별시 광진구 광나루로56길,85,,1.12151E+24,테크노-마트21,서울특별시 광진구 광나루로56길 85,143721,5116,,9,,127.0956807,37.53571341
MA0101202301A0094251,고기로,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1.12151E+18,1,대지,218,15,서울특별시 광진구 구의동 218-15,1.12153E+11,서울특별시 광진구 아차산로,444,,1.12151E+24,와이엔오피스텔,서울특별시 광진구 아차산로 444,143822,5047,,,,127.0919351,37.53854101
